request_id,token_count,keyword_score,previous_requests,cohort,label
0,62,0.777405,9,A,1
1,392,0.971826,5,B,1
2,334,0.500741,10,A,1
3,231,0.143898,8,B,0
4,228,0.013936,7,A,0
5,432,0.229656,9,B,0
6,61,0.131822,5,A,0
7,355,0.677659,7,B,1
8,116,0.121833,3,A,0
9,65,0.50633,10,B,0
10,273,0.694262,6,A,1
11,489,0.581117,8,B,1
12,373,0.199776,5,A,0
13,386,0.804125,9,B,1
14,365,0.715407,0,A,1
15,398,0.738984,1,B,1
16,266,0.131058,5,A,0
17,81,0.123754,8,B,0
18,423,0.927563,8,A,1
19,236,0.397578,4,B,0
20,260,0.300949,7,A,0
21,198,0.488584,6,B,0
22,107,0.662864,10,A,1
23,465,0.955623,7,B,1
24,395,0.286446,4,A,0
25,329,0.924808,10,B,1
26,213,0.024859,1,A,0
27,415,0.555198,10,B,1
28,282,0.633975,1,A,1
29,233,0.105897,3,B,0
30,236,0.14034,9,A,0
31,129,0.419114,8,B,0
32,64,0.966232,10,A,1
33,286,0.596043,8,B,1
34,447,0.933023,7,A,1
35,50,0.804361,3,B,1
36,432,0.467382,0,A,1
37,418,0.784763,1,B,1
38,153,0.017837,3,A,0
39,323,0.109144,0,B,0
40,99,0.829429,5,A,1
41,384,0.796817,8,B,1
42,356,0.232641,10,A,0
43,190,0.53077,5,B,0
44,52,0.606016,9,A,0
45,486,0.867739,10,B,1
46,234,0.603107,9,A,1
47,449,0.412572,5,B,1
48,346,0.374184,3,A,0
49,394,0.425882,10,B,1
50,385,0.651931,2,A,1
51,113,0.867491,4,B,1
52,195,0.453897,0,A,0
53,244,0.24784,8,B,0
54,259,0.236662,7,A,0
55,41,0.746014,0,B,0
56,282,0.816569,2,A,1
57,94,0.105278,6,B,0
58,377,0.066559,5,A,0
59,348,0.594434,8,B,1
60,463,0.146173,2,A,0
61,378,0.824664,10,B,1
62,196,0.310335,4,A,0
63,485,0.143872,9,B,0
64,217,0.92097,2,A,1
65,176,0.165532,0,B,0
66,455,0.28472,0,A,0
67,198,0.153613,4,B,0
68,56,0.11549,10,A,0
69,245,0.021148,0,B,0
70,402,0.055395,4,A,0
71,111,0.174641,1,B,0
72,242,0.053382,10,A,0
73,82,0.591144,7,B,0
74,350,0.680715,8,A,1
75,248,0.39363,7,B,0
76,178,0.317991,7,A,0
77,129,0.504526,8,B,0
78,291,0.875005,0,A,1
79,342,0.851132,9,B,1
80,472,0.043475,8,A,0
81,230,0.181498,8,B,0
82,97,0.236745,4,A,0
83,420,0.249388,8,B,0
84,322,0.571233,4,A,1
85,356,0.416262,0,B,0
86,66,0.049254,9,A,0
87,170,0.373614,2,B,0
88,389,0.523753,1,A,1
89,420,0.101672,6,B,0
90,229,0.833459,2,A,1
91,407,0.051962,9,B,0
92,424,0.924842,4,A,1
93,206,0.099113,0,B,0
94,451,0.843575,10,A,1
95,158,0.902653,5,B,1
96,135,0.979571,2,A,1
97,348,0.802026,7,B,1
98,326,0.779478,5,A,1
99,87,0.642483,0,B,0
100,420,0.778996,8,A,1
101,116,0.134552,4,B,0
102,407,0.536068,7,A,1
103,23,0.514223,9,B,0
104,403,0.857572,6,A,1
105,398,0.462799,7,B,1
106,395,0.385089,2,A,0
107,339,0.639563,2,B,1
108,246,0.266463,4,A,0
109,359,0.139768,9,B,0
110,153,0.477877,5,A,0
111,395,0.416889,3,B,1
112,287,0.23257,8,A,0
113,240,0.367512,9,B,0
114,263,0.366392,9,A,0
115,293,0.327496,3,B,0
116,37,0.379464,7,A,0
117,87,0.685743,6,B,1
118,138,0.296876,4,A,0
119,75,0.948858,4,B,1
120,231,0.916348,1,A,1
121,341,0.48091,3,B,1
122,334,0.328361,6,A,0
123,246,0.535435,9,B,1
124,431,0.84856,9,A,1
125,291,0.652587,2,B,1
126,58,0.804392,7,A,1
127,387,0.532722,0,B,1
128,296,0.632918,7,A,1
129,325,0.288156,3,B,0
130,291,0.734893,4,A,1
131,286,0.202405,7,B,0
132,63,0.694798,4,A,0
133,288,0.860719,8,B,1
134,402,0.132103,5,A,0
135,166,0.61438,10,B,1
136,309,0.095096,7,A,0
137,34,0.725716,3,B,0
138,187,0.084493,8,A,0
139,230,0.93594,4,B,1
140,492,0.137408,5,A,0
141,123,0.95888,1,B,1
142,153,0.800884,1,A,1
143,216,0.593682,6,B,1
144,497,0.782624,2,A,1
145,430,0.795115,10,B,1
146,36,0.946027,9,A,1
147,132,0.253383,7,B,0
148,415,0.590076,8,A,1
149,48,0.095049,6,B,0
150,431,0.616166,0,A,1
151,155,0.171291,4,B,0
152,461,0.564951,5,A,1
153,161,0.572431,10,B,1
154,228,0.465985,2,A,0
155,338,0.522632,5,B,1
156,80,0.763923,3,A,1
157,287,0.799245,1,B,1
158,262,0.492153,1,A,0
159,397,0.599593,4,B,1
160,499,0.931236,0,A,1
161,339,0.119734,0,B,0
162,216,0.117104,3,A,0
163,215,0.087709,2,B,0
164,221,0.657863,6,A,1
165,411,0.418608,0,B,0
